id,location,status,battery_level,distance,last_usage_date
1,Çankaya,85,0,102,2025-03-15 14:30
2,Kızılay,90,0,87,2025-03-16 09:15
3,Keçiören,75,0,45,2025-03-14 13:00
4,Etimesgut,60,1,12,2025-03-16 10:00
5,Sincan,50,0,58,2025-03-13 16:45
6,Çankaya,95,0,120,2025-03-17 09:30
7,Mamak,80,0,76,2025-03-16 08:30
8,Batıkent,70,1,50,2025-03-17 11:00
9,Çankaya,65,0,90,2025-03-15 12:00
10,Yenimahalle,90,1,65,2025-03-13 15:30
11,Keçiören,85,0,100,2025-03-17 10:00
12,Kızılay,78,0,150,2025-03-15 13:00
13,Etimesgut,60,0,40,2025-03-12 11:00
14,Sincan,95,0,110,2025-03-14 14:45
15,Mamak,50,1,30,2025-03-17 08:30
16,Batıkent,85,0,75,2025-03-16 09:45
17,Yenimahalle,80,0,60,2025-03-14 16:30
18,Çankaya,55,0,80,2025-03-16 12:00
19,Kızılay,90,0,100,2025-03-17 07:15
20,Keçiören,70,1,92,2025-03-13 09:30
21,Etimesgut,65,0,130,2025-03-12 10:30
22,Sincan,75,0,80,2025-03-13 14:00
23,Mamak,85,1,105,2025-03-17 10:45
24,Batıkent,80,0,55,2025-03-15 10:00
25,Yenimahalle,90,0,95,2025-03-16 13:30
26,Çankaya,60,0,45,2025-03-14 12:15
27,Kızılay,75,0,30,2025-03-16 11:00
28,Keçiören,85,0,85,2025-03-15 09:45
29,Etimesgut,90,1,70,2025-03-14 17:30
30,Sincan,95,0,120,2025-03-17 08:00
31,Mamak,80,0,135,2025-03-12 09:15
32,Batıkent,60,0,100,2025-03-13 12:00
33,Yenimahalle,70,1,25,2025-03-16 14:30
34,Çankaya,95,0,110,2025-03-16 10:45
35,Kızılay,80,0,90,2025-03-15 11:30
36,Keçiören,65,0,75,2025-03-17 14:00
37,Etimesgut,90,0,50,2025-03-12 10:15
38,Sincan,75,1,25,2025-03-13 13:45
39,Mamak,70,0,40,2025-03-16 16:30
40,Batıkent,55,1,15,2025-03-14 14:30
41,Yenimahalle,65,0,95,2025-03-17 12:15
42,Çankaya,90,0,140,2025-03-15 09:00
43,Kızılay,60,1,55,2025-03-13 15:30
44,Keçiören,75,0,125,2025-03-12 11:30
45,Etimesgut,80,1,10,2025-03-14 13:00
46,Sincan,85,0,110,2025-03-17 13:30
47,Mamak,70,1,25,2025-03-15 16:15
48,Batıkent,60,0,90,2025-03-17 09:00
49,Yenimahalle,95,0,135,2025-03-12 09:45
50,Çankaya,85,0,50,2025-03-14 16:00
51,Keçiören,75,0,55,2025-03-13 14:15
52,Etimesgut,90,1,80,2025-03-16 12:30
53,Sincan,60,1,100,2025-03-12 08:00
54,Mamak,70,0,95,2025-03-13 16:00
55,Batıkent,80,0,30,2025-03-17 08:30
56,Yenimahalle,90,0,110,2025-03-15 10:30
57,Çankaya,75,1,65,2025-03-12 16:30
58,Keçiören,65,1,60,2025-03-14 12:30
59,Etimesgut,90,0,40,2025-03-13 11:30
60,Sincan,55,0,30,2025-03-17 15:00
61,Mamak,80,0,125,2025-03-16 10:15
62,Batıkent,90,0,100,2025-03-15 13:15
63,Yenimahalle,60,1,55,2025-03-16 08:45
64,Çankaya,70,0,95,2025-03-13 10:00
65,Keçiören,85,1,95,2025-03-12 14:30
66,Etimesgut,95,0,110,2025-03-14 11:15
67,Sincan,70,1,90,2025-03-17 09:45
68,Mamak,65,0,35,2025-03-16 12:00
69,Batıkent,80,1,50,2025-03-13 15:15
70,Yenimahalle,55,1,60,2025-03-15 14:45
71,Çankaya,75,0,80,2025-03-12 16:00
72,Keçiören,90,1,90,2025-03-14 17:15
73,Etimesgut,60,0,50,2025-03-13 11:00
74,Sincan,95,0,120,2025-03-12 10:00
75,Mamak,80,1,40,2025-03-16 13:30
76,Batıkent,90,0,30,2025-03-15 16:00
77,Yenimahalle,75,0,60,2025-03-13 14:00
78,Çankaya,65,0,80,2025-03-14 09:00
79,Keçiören,85,0,50,2025-03-16 09:45
80,Etimesgut,95,0,75,2025-03-12 12:15
81,Sincan,70,0,100,2025-03-17 11:45
82,Mamak,60,1,65,2025-03-15 13:45
83,Batıkent,90,0,50,2025-03-14 08:30
84,Yenimahalle,75,1,35,2025-03-12 15:30
85,Çankaya,85,0,60,2025-03-16 07:30
86,Keçiören,65,0,110,2025-03-13 17:30
87,Etimesgut,70,0,90,2025-03-12 16:45
88,Sincan,90,1,55,2025-03-14 11:00
89,Mamak,60,1,45,2025-03-16 10:30
90,Batıkent,85,0,80,2025-03-15 14:00
91,Yenimahalle,90,0,95,2025-03-17 13:00
92,Çankaya,75,1,70,2025-03-12 14:30
93,Keçiören,80,0,55,2025-03-14 16:15
94,Etimesgut,90,1,60,2025-03-15 13:15
95,Sincan,60,0,40,2025-03-16 12:45
96,Mamak,70,1,85,2025-03-17 14:45
97,Batıkent,80,0,90,2025-03-13 08:00
98,Yenimahalle,90,1,55,2025-03-14 11:00
99,Çankaya,60,0,95,2025-03-16 15:30
100,Keçiören,85,0,50,2025-03-17 13:30
